url,postal_code,municipality,property_id,price,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,livable_surface,surface_of_living_room,cellar,garage,number_of_garages,surface_kitchen,number_of_bathrooms,number_of_toilets,solar_panels,type_of_heating,type_of_glazing,alarm,elevator,access_for_disabled,orientation_of_the_front_facade,number_of_facades,frontage_width,number_of_floors,number_of_parking_places_outdoor_,garden,surface_garden,terrace,surface_terrace,total_land_surface,ground_depth,terrain_width_at_the_roadside,sewer_connection,gas,rain_water_tank,specific_primary_energy_consumption,yearly_total_primary_energy_consumption,validity_date_epc_peb,co2_emission,certification_electrical_installation,building_permission_granted,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd27737,1120,neder-over-heembeek,VBD27737,785 000 €,,New,No,,3,24 m²,12 m²,10 m²,,308 m²,72 m²,Yes,Yes,1,,3,3,,,,Yes,No,No,,3,,2,,Yes,,Yes,7 m²,,,,Yes,Yes,,,,,,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/rbu32218,1000,brussels,RBU32218,500 000 €,No,Normal,No,,3,,,,,110 m²,,,,,,3,3,,Gas,,,No,,,,,,,No,,No,,,,,,,,295 kWh/m²/year,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd29289,1000,brussels,VBD29289,645 000 €,No,Normal,Yes,On contract,2,12 m²,10 m²,,,148 m²,,Yes,Yes,1,,2,2,,Gas,Double glass,,No,No,,2,,2,1,Yes,,Yes,,80 m²,,,Yes,Yes,,284 kWh/m²/year,284 kWh/year,30/05/2035,57,"No, certificate does not comply",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/villa/for-sale/1020/laken/vbd29933,1020,laken,VBD29933,799 000 €,No,Normal,No,On contract,4,10 m²,10 m²,12 m²,17 m²,258 m²,42 m²,Yes,Yes,2,17 m²,2,3,,Gas,Double glass,,No,No,North,4,12 m,1,3,Yes,585 m²,Yes,40 m²,813 m²,,12 m,,Yes,,163 kWh/m²/year,60857 kWh/year,06/09/2034,32,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1130/haren/vbd30220,1130,haren,VBD30220,525 000 €,No,To be renovated,,On contract,6,21 m²,19 m²,18 m²,18 m²,324 m²,,,Yes,1,,4,5,,,,,No,Yes,,2,,2,,Yes,500 m²,Yes,50 m²,800 m²,,,,,,409 kWh/m²/year,,28/04/2035,82,No certificate,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd30415,1120,neder-over-heembeek,VBD30415,345 000 €,No,To be renovated,No,On contract,3,15 m²,14 m²,15 m²,,120 m²,18 m²,Yes,,,10 m²,1,1,,Fuel oil,,,No,No,North,2,,2,,Yes,50 m²,Yes,,112 m²,,,Yes,Yes,,476 kWh/m²/year,87072 kWh/year,15/09/2035,121,"No, certificate does not comply",No,No,No,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd31969,1000,brussels,VBD31969,435 000 €,No,Normal,,,4,19 m²,11 m²,11 m²,12 m²,175 m²,16 m²,Yes,,,7 m²,1,2,,Gas,Double glass,,No,No,West,2,3 m,3,,No,,Yes,7 m²,50 m²,,3 m,Yes,Yes,,243 kWh/m²/year,49280 kWh/year,13/10/2033,49,No certificate,,,,(information not available),(information not available)
https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/vbd32247,1000,brussels,VBD32247,1 025 000 €,No,Excellent,No,On contract,4,20 m²,16 m²,15 m²,14 m²,282 m²,38 m²,Yes,,,10 m²,2,3,,Gas,Double glass,Yes,No,No,South,2,5 m,3,,Yes,50 m²,Yes,8 m²,145 m²,,5 m,Yes,Yes,Yes,182 kWh/m²/year,51278 kWh/year,14/01/2032,36,"yes, certificate in accordance",,,No,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd32507,1000,brussels,VBD32507,3 900 000 €,No,Normal,,,10,15 m²,16 m²,17 m²,18 m²,750 m²,,,,,,9,7,,Gas,,,Yes,No,,2,,4,,,,Yes,50 m²,200 m²,,,,,,185 kWh/m²/year,,,36,No certificate,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd32572,1020,laken,VBD32572,1 150 000 €,No,,No,,6,,,,,520 m²,65 m²,,Yes,1,,1,,,Gas,,,,,South,3,,,4,Yes,630 m²,Yes,20 m²,,,,,,,245 kWh/m²/year,,,49,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/vbd32876,1000,brussels,VBD32876,680 000 €,No,,No,On contract,5,,,,,228 m²,26 m²,,,,,1,3,,Gas,,,No,,South-east,2,,3,,No,,Yes,16 m²,89 m²,,,,Yes,,403 kWh/m²/year,,10/03/2035,80,Not applicable,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/vbd33652,1000,brussels,VBD33652,1 160 000 €,No,Excellent,No,,4,28 m²,18 m²,18 m²,15 m²,268 m²,39 m²,Yes,,,10 m²,2,3,,Gas,Double glass,,No,No,North,2,,3,,Yes,,Yes,23 m²,161 m²,,,Yes,Yes,,177 kWh/m²/year,,,35,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd35112,1000,brussels,VBD35112,549 000 €,No,To be renovated,No,,4,,,,,339 m²,24 m²,,,,,2,2,,Gas,,,No,,North-east,2,,3,,No,,Yes,16 m²,136 m²,13 m,,,,,,,04/10/2034,,No certificate,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd35338,1000,brussels,VBD35338,1 050 000 €,No,,No,From 19/09/2025,4,,,,,320 m²,,,,,,2,,,Gas,,,,,South-east,2,,,,Yes,115 m²,Yes,35 m²,,,,,,,253 kWh/m²/year,,,50,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd35728,1120,neder-over-heembeek,VBD35728,770 000 €,,New,,On contract,4,20 m²,16 m²,10 m²,10 m²,271 m²,58 m²,,Yes,1,,3,3,,Hot air,Double glass,,No,No,,3,7 m,3,1,Yes,,Yes,28 m²,405 m²,,7 m,Yes,,Yes,45 kWh/m²/year,,,20,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/rbu43413,1000,brussels,RBU43413,1 250 000 €,No,Normal,,,6,,,,,365 m²,,,Yes,,,6,6,,,,,,,,2,,,,No,,Yes,,300 m²,,,,,,152 kWh/m²/year,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1130/haren/vbd38085,1130,haren,VBD38085,655 000 €,No,To be renovated,No,,3,,,,,185 m²,30 m²,,Yes,1,,1,2,,Gas,,,No,,South-east,2,,,1,Yes,50 m²,Yes,,,,,,,,,,,,Not applicable,,,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd38765,1000,brussels,VBD38765,550 000 €,No,To be renovated,Yes,,4,14 m²,14 m²,14 m²,11 m²,205 m²,22 m²,Yes,,,,3,3,Yes,Gas,Double glass,,No,No,South-east,2,5 m,,,No,,No,,73 m²,,5 m,Yes,Yes,,,192 kWh/year,,39,,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/vbd39088,1000,brussels,VBD39088,895 000 €,No,To be renovated,No,On contract,6,24 m²,16 m²,24 m²,16 m²,300 m²,31 m²,Yes,,,8 m²,3,3,,Gas,,,No,,North-east,2,6 m,3,,Yes,103 m²,Yes,15 m²,180 m²,,6 m,Yes,Yes,,433 kWh/m²/year,433 kWh/year,,85,,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd39815,1120,neder-over-heembeek,VBD39815,615 000 €,No,Normal,,On contract,4,19 m²,16 m²,17 m²,11 m²,165 m²,40 m²,,Yes,1,11 m²,2,2,,Gas,Double glass,Yes,,,South,2,8 m,2,,Yes,102 m²,Yes,22 m²,220 m²,,8 m,Yes,Yes,,150 kWh/m²/year,37481 kWh/year,03/10/2035,,,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd39823,1000,brussels,VBD39823,655 000 €,No,To be renovated,No,,4,,,,,185 m²,30 m²,,Yes,1,,1,,,Gas,,,No,,,,,,2,Yes,55 m²,Yes,,172 m²,,,,,,,,,,Not applicable,,,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1020/laken/vbd39930,1020,laken,VBD39930,495 000 €,No,To renovate,,On contract,3,19 m²,14 m²,20 m²,,142 m²,,,,,6 m²,2,,,Gas,Double glass,,No,No,,2,,3,,Yes,,Yes,,,,,,,,,,,,"No, certificate does not comply",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd40752,1120,neder-over-heembeek,VBD40752,499 000 €,No,Excellent,,On contract,5,15 m²,11 m²,16 m²,14 m²,210 m²,16 m²,Yes,,,,2,3,,Gas,Double glass,,No,No,,2,6 m,3,,Yes,80 m²,Yes,30 m²,180 m²,,6 m,Yes,Yes,,162 kWh/m²/year,,22/07/2035,32,"yes, certificate in accordance",,,No,no flooding area,a demarcated riparian zone
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd40753,1020,laken,VBD40753,499 000 €,No,Excellent,,On contract,5,15 m²,11 m²,16 m²,14 m²,210 m²,16 m²,Yes,,,,2,3,,Gas,Double glass,,No,No,,2,6 m,3,,Yes,80 m²,Yes,30 m²,180 m²,,6 m,Yes,Yes,,162 kWh/m²/year,,22/07/2035,32,"yes, certificate in accordance",,,No,no flooding area,a demarcated riparian zone
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd40763,1000,brussels,VBD40763,13 400 000 €,No,Excellent,No,,50,,,,,2700 m²,,,Yes,19,,27,30,No,Electricity,Triple glass,No,Yes,,,,37 m,7,,No,,No,,769 m²,21 m,37 m,Yes,No,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1130/haren/rbt40401,1130,haren,RBT40401,399 000 €,No,Normal,,,3,,,,,148 m²,,Yes,Yes,2,,1,,,Gas,Double glass,,No,No,,,,3,,Yes,,Yes,,168 m²,,,,,,376 kWh/m²/year,,,,No certificate,,Yes,,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd41361,1000,brussels,VBD41361,895 000 €,No,Normal,,On contract,2,13 m²,12 m²,,,175 m²,,Yes,,,6 m²,,1,,Gas,,Yes,No,No,,2,8 m,4,,,,No,,85 m²,6 m,8 m,Yes,,,,,,,No certificate,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd41474,1000,brussels,VBD41474,549 000 €,No,To renovate,Yes,,4,15 m²,15 m²,15 m²,15 m²,235 m²,15 m²,Yes,,,5 m²,4,4,,,Double glass,,No,No,,2,,5,,,,No,,,,,Yes,Yes,,185 kWh/m²/year,,07/10/2035,37000,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd41661,1120,neder-over-heembeek,VBD41661,770 000 €,,New,,On contract,4,20 m²,16 m²,10 m²,10 m²,265 m²,58 m²,,Yes,,,3,3,,Hot air,Double glass,,No,No,,3,,2,,Yes,,Yes,16 m²,405 m²,,,Yes,,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd41663,1120,neder-over-heembeek,VBD41663,785 000 €,,New,,On contract,4,20 m²,16 m²,10 m²,10 m²,324 m²,58 m²,,,,,3,3,,Hot air,Double glass,,No,No,,2,,2,,Yes,,Yes,16 m²,328 m²,,,Yes,,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd41918,1120,neder-over-heembeek,VBD41918,574 046 €,,New,,,3,,,,,162 m²,,,Yes,1,,1,2,,,,,,,,2,6 m,,,Yes,,,,221 m²,,6 m,,,Yes,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd42102,1000,brussels,VBD42102,849 000 €,No,Normal,,,8,25 m²,20 m²,18 m²,18 m²,340 m²,,Yes,,,,6,,,Gas,,,No,No,,2,8 m,2,,No,,Yes,,207 m²,,8 m,Yes,Yes,,400 kWh/m²/year,,,58,"No, certificate does not comply",No,Yes,No,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd28312,1000,brussels,VBD28312,595 000 €,No,Normal,No,Immediately,3,13 m²,13 m²,13 m²,,,17 m²,,Yes,1,37 m²,2,3,,,Double glass,No,No,No,,,,,,No,,Yes,,,,,,Yes,,147 kWh/m²/year,,,33,,,,No,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc94327,1000,brussels,VBC94327,380 000 €,No,Normal,No,On contract,4,22 m²,19 m²,12 m²,,170 m²,22 m²,Yes,,,,2,2,,Gas,Double glass,,No,No,,2,,3,,No,,No,,70 m²,,,,,,,,,,"No, certificate does not comply",,,,(information not available),(information not available)
https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/vbd26234,1000,brussels,VBD26234,5 000 000 €,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd26250,1000,brussels,VBD26250,7 750 000 €,No,,,,25,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/rbu31036,1020,laken,RBU31036,499 000 €,No,To be renovated,Yes,,4,15 m²,13 m²,8 m²,25 m²,200 m²,31 m²,Yes,,,15 m²,3,3,,Gas,,,No,No,,2,,,,No,,Yes,,70 m²,,,Yes,Yes,,209 kWh/m²/year,,,,"yes, certificate in accordance",No,No,No,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd33312,1120,neder-over-heembeek,VBD33312,690 000 €,No,Excellent,No,On contract,4,18 m²,16 m²,17 m²,85 m²,231 m²,40 m²,Yes,Yes,1,7 m²,1,3,Yes,Gas,Double glass,Yes,No,No,South-west,3,8 m,3,1,Yes,191 m²,Yes,24 m²,284 m²,25 m,8 m,Yes,Yes,Yes,147 kWh/m²/year,33068 kWh/year,02/06/2035,30,"yes, certificate in accordance",Yes,Yes,No,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd34133,1000,brussels,VBD34133,549 000 €,No,To be renovated,,,6,13 m²,17 m²,14 m²,17 m²,365 m²,23 m²,,,,7 m²,2,2,,Gas,Double glass,,No,No,,2,6 m,4,,,,Yes,17 m²,136 m²,20 m,6 m,Yes,Yes,,798 kWh/m²/year,,,,"No, certificate does not comply",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd34140,1000,brussels,VBD34140,549 000 €,No,To be renovated,,,6,13 m²,17 m²,14 m²,17 m²,365 m²,23 m²,,,,7 m²,2,2,,Gas,Double glass,,No,No,,2,6 m,4,,Yes,,Yes,17 m²,136 m²,20 m,6 m,Yes,Yes,,798 kWh/m²/year,,,,"No, certificate does not comply",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd43555,1120,neder-over-heembeek,VBD43555,690 000 €,No,Excellent,No,On contract,4,18 m²,16 m²,17 m²,85 m²,231 m²,40 m²,Yes,Yes,1,7 m²,1,3,Yes,Gas,Double glass,Yes,No,No,South-west,3,8 m,3,1,Yes,191 m²,Yes,24 m²,284 m²,25 m,8 m,Yes,Yes,Yes,147 kWh/m²/year,33068 kWh/year,02/06/2035,30,"yes, certificate in accordance",Yes,Yes,No,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1130/haren/vbd44121,1130,haren,VBD44121,399 000 €,No,Normal,No,On contract,4,15 m²,13 m²,13 m²,16 m²,160 m²,35 m²,Yes,,,14 m²,,2,Yes,Gas,Double glass,,No,No,,2,6 m,2,,Yes,86 m²,Yes,27 m²,165 m²,37 m,6 m,Yes,Yes,,258 kWh/m²/year,,01/12/2027,51,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd43574,1000,brussels,VBD43574,598 000 €,No,Normal,Yes,,5,16 m²,15 m²,15 m²,9 m²,153 m²,,Yes,,,10 m²,2,3,,Gas,Double glass,,No,No,North,2,9 m,3,,No,,No,,52 m²,,9 m,Yes,Yes,,458 kWh/m²/year,69952 kWh/year,03/02/2031,92,"No, certificate does not comply",Yes,No,,,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd43790,1000,brussels,VBD43790,580 000 €,No,,No,On contract,5,,,,,190 m²,,,,,,4,5,,,,,No,,,2,6 m,,,Yes,20 m²,No,,,,,,,,248 kWh/m²/year,,,49,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd41708,1000,brussels,VBD41708,790 000 €,No,Excellent,No,On contract,4,14 m²,25 m²,18 m²,18 m²,242 m²,42 m²,,Yes,,9 m²,3,3,,Gas,Double glass,,,Yes,South,,,,1,Yes,45 m²,Yes,,130 m²,,,,,,414 kWh/m²/year,100 kWh/year,,83,,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vwd15422,1000,brussels,VWD15422,800 000 €,No,Normal,,On contract,3,,,,,163 m²,54 m²,Yes,,,17 m²,3,,,Gas,Double glass,,,,,2,,,,Yes,,Yes,30 m²,,,,Yes,Yes,,408 kWh/m²/year,,,82,,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1130/haren/vbd44657,1130,haren,VBD44657,481 000 €,,New,No,On contract,4,15 m²,12 m²,10 m²,10 m²,158 m²,20 m²,,,,,2,3,Yes,Hot air,,,No,No,,2,6 m,2,,Yes,,Yes,,,,6 m,Yes,Yes,,19 kWh/m²/year,,,,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vwd15443,1000,brussels,VWD15443,1 490 000 €,No,Excellent,Yes,On contract,5,26 m²,17 m²,34 m²,19 m²,360 m²,50 m²,Yes,Yes,,14 m²,4,,,Wood,Simple glass,,,,,3,,,,,,Yes,,,,,,Yes,Yes,361 kWh/m²/year,,,,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/rbu59335,1000,brussels,RBU59335,1 195 000 €,No,Normal,No,On contract,5,,,,,321 m²,,,,,,3,3,,Gas,,,No,,,,,,,Yes,50 m²,No,,116 m²,20 m,,,,,259 kWh/m²/year,,,,"yes, certificate in accordance",,,No,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd45305,1120,neder-over-heembeek,VBD45305,430 000 €,No,Normal,,,4,,,,,140 m²,,,,,,1,,,,,,,,,2,,,,Yes,,Yes,27 m²,183 m²,,,,,,320 kWh/m²/year,,,64,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd45433,1000,brussels,VBD45433,765 000 €,No,Normal,Yes,,4,20 m²,16 m²,12 m²,40 m²,169 m²,40 m²,Yes,Yes,,9 m²,2,3,,Gas,Double glass,,No,No,South-west,3,,2,,Yes,140 m²,Yes,15 m²,191 m²,,,Yes,Yes,,334 kWh/m²/year,50493 kWh/year,,67,No certificate,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd45557,1120,neder-over-heembeek,VBD45557,299 000 €,No,To be renovated,No,On contract,2,17 m²,14 m²,,,100 m²,32 m²,Yes,,,14 m²,1,2,,Gas,Double glass,,No,No,South-west,2,4 m,2,,Yes,40 m²,Yes,10 m²,130 m²,,4 m,No,Yes,,423 kWh/m²/year,52494 kWh/year,03/10/2035,85,"No, certificate does not comply",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd46086,1020,laken,VBD46086,449 900 €,No,,No,From 30/09/2025,6,,,,,140 m²,37 m²,,,,,1,,,Gas,,,,,,2,,,,Yes,,Yes,21 m²,80 m²,,,,,,580 kWh/m²/year,,,116,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd46283,1120,neder-over-heembeek,VBD46283,775 000 €,,New,,,4,20 m²,16 m²,10 m²,10 m²,270 m²,58 m²,Yes,Yes,1,,3,3,,,,Yes,No,No,,3,,2,,Yes,,Yes,7 m²,,,,,,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd46284,1120,neder-over-heembeek,VBD46284,785 000 €,,New,,,3,24 m²,12 m²,10 m²,,308 m²,72 m²,Yes,Yes,1,,3,3,,,,Yes,No,No,,3,,2,,Yes,,Yes,7 m²,,,,,,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd46285,1120,neder-over-heembeek,VBD46285,770 000 €,,New,,,4,20 m²,16 m²,10 m²,10 m²,270 m²,58 m²,Yes,Yes,1,,3,3,,,,Yes,No,No,,3,,2,,Yes,,Yes,7 m²,,,,,,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd46286,1020,laken,VBD46286,775 000 €,,New,,,4,20 m²,16 m²,10 m²,10 m²,270 m²,58 m²,Yes,Yes,1,,3,3,,,,Yes,No,No,,3,,2,,Yes,,Yes,7 m²,,,,,,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd46287,1020,laken,VBD46287,785 000 €,,New,,,3,24 m²,12 m²,10 m²,,308 m²,72 m²,Yes,Yes,1,,3,3,,,,Yes,No,No,,3,,2,,Yes,,Yes,7 m²,,,,,,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd46288,1020,laken,VBD46288,770 000 €,,New,,,4,20 m²,16 m²,10 m²,10 m²,270 m²,58 m²,Yes,Yes,1,,3,3,,,,Yes,No,No,,3,,2,,Yes,,Yes,7 m²,,,,,,,,,,,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/vbd46672,1000,brussels,VBD46672,1 187 000 €,No,Normal,No,On contract,3,,,,,250 m²,,,Yes,,,1,,,Gas,,,No,,,2,,3,,Yes,8 m²,Yes,,,,,,,,488 kWh/m²/year,,,,"No, certificate does not comply",,,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1020/laken/vbd46720,1020,laken,VBD46720,1 750 000 €,No,To renovate,,,23,,,,,720 m²,,Yes,Yes,2,,23,23,Yes,Gas,Double glass,,,,,2,,3,,,,Yes,30 m²,377 m²,,,,,,447 kWh/m²/year,,20/03/2035,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd46754,1120,neder-over-heembeek,VBD46754,365 000 €,No,New,No,Immediately,3,15 m²,10 m²,9 m²,,145 m²,30 m²,Yes,,,12 m²,1,1,No,Gas,Double glass,No,,,South,3,,2,,Yes,35 m²,Yes,5 m²,,,,Yes,,,632 kWh/m²/year,,,126,No certificate,,,No,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd46825,1020,laken,VBD46825,499 000 €,No,Excellent,No,On contract,3,9 m²,14 m²,13 m²,,203 m²,41 m²,Yes,Yes,1,10 m²,1,3,,Gas,Double glass,,No,No,,2,6 m,2,1,Yes,76 m²,Yes,5 m²,155 m²,26 m,6 m,Yes,Yes,,287 kWh/m²/year,58220 kWh/year,04/06/2025,60,"No, certificate does not comply",No,No,No,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd47146,1000,brussels,VBD47146,1 495 000 €,No,To renovate,Yes,,5,20 m²,20 m²,20 m²,20 m²,570 m²,,Yes,,,,5,6,,Gas,Double glass,,No,No,,2,6 m,5,,No,,No,,195 m²,,6 m,Yes,Yes,,251 kWh/m²/year,,,50,No certificate,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd47156,1020,laken,VBD47156,795 000 €,No,Excellent,,,5,22 m²,10 m²,18 m²,14 m²,289 m²,,,,,,2,2,Yes,Hot air,,,No,Yes,,3,,2,,Yes,600 m²,Yes,60 m²,800 m²,,,,,,69 kWh/m²/year,,19/09/2035,11,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd47636,1120,neder-over-heembeek,VBD47636,685 000 €,No,Excellent,,On contract,3,15 m²,11 m²,10 m²,,230 m²,,,Yes,1,,2,2,,Gas,Double glass,,No,No,,2,,2,1,Yes,,Yes,15 m²,,,,,,,148 kWh/m²/year,38583 kWh/year,,31,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd47729,1020,laken,VBD47729,649 000 €,No,To renovate,,On contract,5,18 m²,18 m²,14 m²,14 m²,200 m²,,,Yes,,,2,2,,Fuel oil,,,No,No,,2,,3,,Yes,70 m²,No,,197 m²,,,,,,388 kWh/m²/year,,01/02/2033,95,"No, certificate does not comply",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/villa/for-sale/1000/brussels/vbd47853,1000,brussels,VBD47853,2 200 000 €,No,,No,,5,,,,,306 m²,50 m²,,Yes,,,2,,,Gas,,,,,South,4,,,,Yes,400 m²,Yes,75 m²,543 m²,,,,,,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd48120,1000,brussels,VBD48120,525 000 €,No,Excellent,,On contract,2,15 m²,7 m²,,,82 m²,,Yes,,,,1,,,Gas,Double glass,,No,No,,2,,1,,Yes,35 m²,Yes,35 m²,105 m²,,,,Yes,,180 kWh/m²/year,180 kWh/year,,35,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vwd15567,1120,neder-over-heembeek,VWD15567,515 000 €,No,Normal,,,4,,,,,293 m²,,,,,,2,,Yes,Gas,Double glass,,,,,2,,,,Yes,220 m²,Yes,25 m²,,,,,,,,,,,,,,,(information not available),(information not available)
